Symbol,Address,Decimals,Active,Base LTV as Collateral,Liquidation Threshold,Reserve used as collateral,baseVariableBorrowRate,variableRateSlope1,variableRateSlope2,Stable Borrow Rate Enabled,Current Stable Borrow Rate,Base Stable Borrow Rate,stableRateSlope1,stableRateSlope2,Interest Rate Strategy Address,Reserve Borrowing Enabled,Reserve Usage As Collateral,Liquidation Bonus,Liquidity Cumulative Index,Normalized Income,Utilization Rate,Variable Borrows Cumulative Index
DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,18,TRUE,75,80,TRUE,1.00%,7.00%,60.00%,TRUE,7.06%,,6.00%,60.00%,0x247227714Bd121C528310E3bBff401ae34c9F9f6,105,TRUE,105,1.04,1.04,53.36%,1.04
TUSD,0x0000000000085d4780B73119b644AE5ecd22b376,18,TRUE,1,80,TRUE,1.00%,4.00%,50.00%,FALSE,5.80%,,14.00%,60.00%,0x98C2568114Bf5d14cBe880912058fd5850a1C557,105,TRUE,105,1.02,1.02,13.14%,1.03
USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,TRUE,75,80,TRUE,1.00%,7.00%,60.00%,TRUE,4.87%,,6.00%,60.00%,0x247227714Bd121C528310E3bBff401ae34c9F9f6,105,TRUE,105,1.02,1.02,20.55%,1.03
USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,6,TRUE,0,70,FALSE,1.00%,7.00%,60.00%,TRUE,4.45%,,6.00%,60.00%,0x247227714Bd121C528310E3bBff401ae34c9F9f6,0,FALSE,0,1.03,1.03,14.20%,1.04
sUSD,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,18,TRUE,0,0,FALSE,1.00%,4.00%,50.00%,FALSE,12.72%,,14.00%,60.00%,0x4fD3103c7546a1093E89869C25CE2Ea4a10924F9,0,FALSE,0,1.03,1.03,52.68%,1.04
LEND,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,18,TRUE,50,65,TRUE,0.00%,7.00%,300.00%,TRUE,3.05%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,0.22%,1
BAT,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,18,TRUE,60,65,TRUE,0.00%,7.00%,300.00%,TRUE,5.02%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,9.07%,1.03
ETH,0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE,18,TRUE,75,80,TRUE,0.00%,8.00%,50.00%,TRUE,6.09%,,10.00%,60.00%,0xE5e3bAA98532F36A2D0db3277629C8e138d31034,105,TRUE,105,1,1,24.74%,1.01
LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,18,TRUE,65,70,TRUE,0.00%,7.00%,300.00%,TRUE,6.62%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,16.31%,1
KNC,0xdd974D5C2e2928deA5F71b9825b8b646686BD200,18,TRUE,60,65,TRUE,0.00%,8.00%,50.00%,TRUE,4.35%,,10.00%,60.00%,0xaEd08797f7461CfAc56c9224fD8e149584359369,110,TRUE,110,1,1,10.79%,1
REP,0x1985365e9f78359a9B6AD760e32412f4a445E862,18,TRUE,35,65,TRUE,0.00%,7.00%,300.00%,TRUE,6.88%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,17.44%,1.01
MKR,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,18,TRUE,35,65,TRUE,0.00%,7.00%,300.00%,TRUE,4.36%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,6.11%,1.01
MANA,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,18,TRUE,60,65,TRUE,0.00%,8.00%,50.00%,TRUE,3.13%,,10.00%,60.00%,0xad6490E24ac89a647D2091348DbBb1139a6057E0,110,TRUE,110,1.01,1.01,1.08%,1.01
ZRX,0xE41d2489571d322189246DaFA5ebDe1F4699F498,18,TRUE,60,65,TRUE,0.00%,7.00%,300.00%,TRUE,6.18%,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,14.33%,1.01
SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,18,TRUE,15,40,TRUE,3.00%,12.00%,50.00%,FALSE,3.01%,,10.00%,60.00%,0xDE3421A4BF5A45297E2dF46F8C10Dff391c0fE55,110,TRUE,110,1.05,1.05,24.05%,1.07
WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8,TRUE,60,65,TRUE,0.00%,8.00%,50.00%,TRUE,3.18%,,10.00%,60.00%,0x21BcEe0eD893EeC65CBf8C663C78c2B6c4e41314,115,TRUE,115,1,1,1.42%,1
BUSD,0x4Fabb145d64652a948d72533023f6E7A623C7C53,18,TRUE,0,0,FALSE,1.00%,4.00%,50.00%,FALSE,18.70%,,14.00%,60.00%,0x41ACf485DbeA7157498e2035Cf4e3E728cB1Aa71,0,FALSE,0,1.01,1.01,81.57%,1.02
ENJ,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,18,TRUE,55,65,TRUE,0.00%,7.00%,300.00%,FALSE,0.04,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,16.13%,1
REN,0x408e41876cCCDC0F92210600ef50372656052a38,18,TRUE,50,65,TRUE,0.00%,7.00%,300.00%,FALSE,0,,10.00%,300.00%,0x85B6c5E82886Be58e99c3aEAb8c74f566dc5811A,110,TRUE,110,1,1,0.01%,1